,Handset Manufacturer,Handset Type,count
0,Samsung,Samsung Galaxy S8 (Sm-G950F),4539
1,Samsung,Samsung Galaxy A5 Sm-A520F,3737
2,Samsung,Samsung Galaxy J5 (Sm-J530),3705
3,Samsung,Samsung Galaxy J3 (Sm-J330),3493
4,Samsung,Samsung Galaxy S7 (Sm-G930X),3211
