,Avg RTT UL (ms),Frequency
721,835.0,1
554,1056.0,1
553,1411.0,1
552,384.0,1
551,326.0,1
550,1352.0,1
549,1294.0,1
548,383.0,1
547,1222.0,1
546,353.0,1
