,Handset Manufacturer,Handset Type,count
0,Apple,Apple iPhone 6S (A1688),9452
1,Apple,Apple iPhone 6 (A1586),9059
2,Apple,Apple iPhone 7 (A1778),6361
3,Apple,Apple iPhone Se (A1723),5211
4,Apple,Apple iPhone 8 (A1905),5028
