,TCP UL Retrans. Vol (Bytes),Frequency
35119,40552.0,1
25183,12145.0,1
25182,190263.0,1
25181,63181.0,1
25180,133525.0,1
25179,679991.0,1
25178,178443.0,1
25177,71106.0,1
25176,141975.0,1
25175,48988.0,1
