,total_google,total_netflix,total_youtube
0,2905912.0,17855187.0,18355943.0
1,4414096.0,35565545.0,39359124.0
2,10229119.0,23751202.0,34425237.0
3,11811761.0,15092588.0,36534765.0
4,7748843.0,17539799.0,34222253.0
5,12934133.0,13881809.0,23944031.0
6,4906872.0,31212766.0,9120760.0
7,3872713.0,18933702.0,31924969.0
8,8902099.0,19054441.0,29297508.0
9,8778341.0,13185350.0,22911539.0
